,"Manager:  
Email: 
Phone: ",,,,,,,,
Photo,Name,Description,Custom,"Quantity, pcs","Price per item, including air delivery to Dubai	",,,"Sample price (does not include delivery cost), $",Add Photos
,,,,,"Price per item, $","Price per item, AED",Circulation period,,
,Pen,"Material: plastic
Size: 13.9*1.1cm
Package: OPP packet",Design: UV print colourful logo,110,"2,37",,"Production: 15-18 calendar days
+ Delivery: 15-20 calendar days","107,80",
,,,,300,"1,3",,"Production: 15-18 calendar days
+ Delivery: 15-20 calendar days",,
,Mousepad,"Material: rubber
Size: 240*200*3mm
Package: OPP packet
processed edges",Design: sublimation colourful logo,110,"4,35",,"Production: 10-15 calendar days
+ Delivery: 15-20 calendar days","26,00",
,Stress ball,"Material: PU
Color: white
Size:  6,3cm
Package: OPP packet",Design: thermal transfer print colourful logo,110,"2,55",,"Production: 15-18 calendar days
+ Delivery: 15-20 calendar days","166,30",
,Tumbler,"Material: stainless steel 304
Color: individual, pantone coloring
Size:  7*26,5cm, 500ml
Package: OPP packet",Design: UV colourful logo,110,"14,99",,"Production: 15-18 calendar days
+ Delivery: 15-20 calendar days","166,30",
,Tote Bag,"Material: cotton 10 oz
Color: individual
Size: 31*39*14cm
Package: OPP packet",Design: UV colourful logo,110,"9,34",,"Production: 17-20 calendar days
+ Delivery: 15-20 calendar days","140,78",
,Power bank,"Material: ABS plastic
Color: Black
Size: 149*76*15MM
Package: standart factory box",Design: logo engraving,110,"14,26",,"Production: 10-12 calendar days
+ Delivery: 15-20 calendar days","49,54",
